Timestamp,Email Address,What is the full name of your high school?,What is the address of your school?,What is the school phone number?,What is your website address?,Please explain your application process.,"Tell us about your school, in 100 words or less. (Ex: your ""Mission Statement"" or ""About Us"")",How big is your student body?,How many students are accepted per year (average)?,What is the makeup of your student body?,What is the cost of tuition for your school?,Does your school offer merit-based scholarships?,Does your school offer financial aid or tuition assistance based on financial need?,Which private scholarships are compatible with your school?,Where can I find information online about your scholarships and/or financial aid?,Is your school easy to access with public transportation?,What bus lines stop within walking distance of your school?,What L lines stop within walking distance of your school?,What Metra lines stop within walking distance of your school?,Does your school provide its own transportation?,What kind of support and programming do you offer your students?,What academic programming do you offer?,What AP Classes do you offer?,What extracurriculars do you offer?,What sports do you offer?,Please share 2-3 images you would like to be featured on your school's profile page.,Shadow Sign-Up Form,Transportation Options
12/1/2017 13:07:42,srawls@LeoHighSchool.org,Leo Catholic High School,"7901 S Sangamon St
Chicago, IL 60620",(773) 224-9600,http://leohighschool.org/,December Entrance Exam,,Less than 250 students,Approximately 40 students per year.,All boys,"$9,300.00",Yes,Yes,"Big Shoulders Fund, LINK Unlimited",http://leohighschool.org/admissions/the-leo-advantage/,Yes,"CTA: 79, 8, 8A, 44",None,None,Yes - to/from defined locations,"Post-High School Counseling, Support for Learning Differences, Tutoring, Mental Health Counseling, Restorative Justice Programs","AP Biology, AP English, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP United States History, AP Economics, AP World History, AP Government and Politics, AP Spanish, AP Art History, Vocational Training, Online Classes, Summer School, Credit Recovery, Dual Enrollment or Credit, Service Learning","AP Biology, AP English, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP United States History, AP Economics, AP World History, AP Government and Politics, AP Spanish, AP Art History","Choir/Chorus, National Honor Society, STEM Clubs, Coding, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship","Basketball, Football, Baseball, Track and Field, Cross Country, Wrestling, Soccer, Bowling","https://drive.google.com/open?id=1tndROfHTMe8YHlYEFMIJPkQTmLxqZjXs, https://drive.google.com/open?id=16YnYImEof-BSN51GD80GBAsF0DaOaFLK, https://drive.google.com/open?id=11-euSrdzY2Lp59-Hgf_xLBv435toILz9","Contact Mr. Michael Holmes 773-224-9600, ext. 212. or mrholmes@ameritech.net
","Public Transit (CTA, PACE, or Metra), School bus"
11/9/2017 13:07:52,gatwood@loy.org,Loyola Academy,"1100 Laramie Ave
Wilmette, IL 60091",(847) 256-1100,https://www.goramblers.org/page,December Entrance Exam,"Our mission is TO FORM WOMEN AND MEN for meaningful lives of leadership and service in imitation of Jesus Christ through a college preparatory education in the Jesuit, Catholic tradition. Our vision is to 
 strive to be the leading Jesuit college preparatory faith and education center in the nation. To be a diverse and committed community responding to our God-given call to become women and men for others who are religious, intellectually competent, physically fit, loving, open to growth and committed to doing justice.",Over 500 students,Approximately 675 students per year.,Co-ed,"$16,200.00",Yes,Yes,"Big Shoulders Fund, LINK Unlimited, HFS Chicago, Highsight, Boys Hope Girls Hope, Daniel Murphy",https://www.goramblers.org/page/admissions/tuition--financial-aid,Yes,"PACE: 421, 422, 423",Purple,Union Pacific North (UP-N),No,"Post-High School Counseling, Support for Learning Differences, Tutoring, Mental Health Counseling","AP Biology, AP English, AP Computer Science, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Government and Politics, AP Chinese, AP Latin, AP French, AP Spanish, AP Studio Art, AP Art History, AP Human Geography, Summer School, Service Learning","AP Biology, AP English, AP Computer Science, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Government and Politics, AP Chinese, AP Latin, AP French, AP Spanish, AP Studio Art, AP Art History, AP Human Geography","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship, Loyola offers over 70 clubs and activities","Basketball, Football, Flag Football, Softball, Baseball, Track and Field, Cross Country, Hockey, Field Hockey, Wrestling, Cheerleading/Dance Team, Swimming, Diving, Water Polo, Soccer, Volleyball, Golf, Rowing, Bowling, Lacrosse, Tennis, sailing, crew","https://drive.google.com/open?id=11E8gQovHlAJ26zNOCMQSESFg8ewTuI1B, https://drive.google.com/open?id=1jsJOFSNUlRTMMADd8K-bgsgVLW_v0SgT","https://goramblers.myschoolapp.com/page/admissions/shadow-program?siteId=1102&ssl=1#register/14257
","Public Transit (CTA, PACE, or Metra)"
11/7/2017 10:17:15,adecarlo@marianchs.com,Marian Catholic High School,"700 Ashland Ave
Chicago Heights, IL 60411",(708) 755-7565,http://www.marianchs.com/,December Entrance Exam,"Marian Catholic High School is a Catholic, coeducational, college preparatory high school within the Dominican tradition of study, prayer, community, and preaching. Marian Catholic students seek truth, exhibit personal responsibility, cultivate their individual talents, and demonstrate ethical leadership and Christian service.",Over 500 students,Approximately 280 students per year.,Co-ed,"$10,800.00",Yes,Yes,Big Shoulders Fund,http://www.marianchs.com/,Yes,PACE: 372,None,None,Yes - for all students,Tutoring,"AP Biology, AP English, AP Computer Science, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Government and Politics, AP Latin, AP French, AP Spanish","AP Biology, AP English, AP Computer Science, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Government and Politics, AP Latin, AP French, AP Spanish","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship","Basketball, Football, Softball, Baseball, Track and Field, Cross Country, Wrestling, Cheerleading/Dance Team, Swimming, Diving, Water Polo, Soccer, Volleyball, Golf, Bowling, Fencing, Lacrosse, Tennis",https://drive.google.com/open?id=1hHYn1P4G_UqO1LkqgDEOi8B5iVzqENlH,"http://www.marianchs.com/pdf/shadow-request-form.pdf
","Public Transit (CTA, PACE, or Metra), School bus"
11/13/2017 15:01:08,klatka2112@gmail.com,Marist High School,"4200 W 115th St
Chicago, IL 60655",(773) 881-5300,http://www.marist.net,December Entrance Exam,"The Mission of Marist High School as a Roman Catholic, coed high school, is to make Jesus Christ known and loved in the Marist Brothers’ tradition, while preparing students for higher education and life.",Over 500 students,Approximately 450-500 students per year.,Co-ed,"$12,000.00",Yes,Yes,"Big Shoulders Fund, LINK Unlimited, HFS Chicago, Highsight, Chicago Lights, Standing Tall Charitable Foundation, Daniel Murphy Scholarships, Quigley Scholars Program",http://www.marist.net/admissions/tuition-financial-assistance/,Yes,"CTA: 52A, 53A 
PACE: 385",None,"SouthWest Service (SWS)
*With transportation to/from station thru Marist",Yes - to/from defined locations,"Post-High School Counseling, Support for Learning Differences, Tutoring, Mental Health Counseling","AP Biology, AP English, AP Computer Science, AP Calculus, AP Chemistry, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Government and Politics, AP French, AP Spanish, AP Studio Art, AP Art History, Summer School, Credit Recovery, Dual Enrollment or Credit, Service Learning","AP Biology, AP English, AP Computer Science, AP Calculus, AP Chemistry, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Government and Politics, AP French, AP Spanish, AP Studio Art, AP Art History","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship","Basketball, Football, Flag Football, Softball, Baseball, Track and Field, Cross Country, Hockey, Wrestling, Cheerleading/Dance Team, Swimming, Soccer, Volleyball, Golf, Bowling, Fencing, Lacrosse, Tennis, Rugby","https://drive.google.com/open?id=1o343hxHe1liiM2deUAQeoDDM9uno8Abc, https://drive.google.com/open?id=1Ujfx98NLeei8a48yYEIlUDXZDEhC9uFb, https://drive.google.com/open?id=1U-N9-ounLFVhPsp7lwOXD0O5rao51yzt",http://www.marist.net/admissions/friday-at-marist-registration/,"Public Transit (CTA, PACE, or Metra), School bus"
11/17/2017 14:49:41,jbusk@mothermcauley.org,Mother McAuley Liberal Arts High School,"3737 W 99th St
Chicago, IL 60655",(773) 881-6500,http://www.mothermcauley.org,December Entrance Exam,"MOTHER McAULEY LIBERAL ARTS HIGH SCHOOL is a Catholic educational community committed to providing a quality secondary education for young women. In the tradition of the Sisters of Mercy and their foundress, Catherine McAuley, we prepare students to live in a complex, dynamic society by teaching them to think critically, communicate effectively, respond compassionately to the needs of their community and assume roles of Christian leadership. In partnership with parents, we empower young women to acknowledge their giftedness and to make decisions with a well-developed moral conscience. We foster an appreciation of the diversity of the global community and a quest for knowledge and excellence as life long goals.",Over 500 students,Approximately 230 students per year.,All girls,"$11,550.00",Yes,Yes,"Big Shoulders Fund, LINK Unlimited, HFS Chicago, Highsight, Madonna Foundation",http://www.mothermcauley.org/page.cfm?p=1319,Yes,"CTA: 53A, 103
PACE: 381, 382, 383",None,SouthWest Service (SWS),Yes - to/from defined locations,"Post-High School Counseling, Support for Learning Differences, Tutoring, Mental Health Counseling","AP Biology, AP English, AP Calculus, AP Statistics, AP Chemistry, AP Physics, AP United States History, AP World History, AP Psychology, AP Government and Politics, AP Latin, AP French, AP Spanish, AP Studio Art, AP Art History, AP Literature and Composition, Summer School, Study Abroad, College Credit courses in Nursing and Early Childhood education","AP Biology, AP English, AP Calculus, AP Statistics, AP Chemistry, AP Physics, AP United States History, AP World History, AP Psychology, AP Government and Politics, AP Latin, AP French, AP Spanish, AP Studio Art, AP Art History, AP Literature and Composition","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship","Basketball, Softball, Track and Field, Cross Country, Swimming, Diving, Water Polo, Soccer, Volleyball, Golf, Bowling, Lacrosse, Tennis","https://drive.google.com/open?id=1scJp_o_pa_xbFsi4Ao5qPMfUIMgxlJTI, https://drive.google.com/open?id=18yWos-UrkKdKXCe3BfkluOmV55m4iaL3, https://drive.google.com/open?id=1OcqleWDXWXlyH1PrvRz9moYDQpcuzXa0",https://www.mothermcauley.org/page.cfm?p=667&LockSSL=true,"Public Transit (CTA, PACE, or Metra), School bus"
11/7/2017 10:51:30,bnolan@mchs.org,Mount Carmel High School,"6410 S Dante Ave
Chicago, IL 60637",(773) 324-1020,http://www.mchs.org/s/1249/15/start.aspx,December Entrance Exam,"Since 1900 Mount Carmel High School has prepared young men from throughout Chicago to face the challenges of college and life with confidence and courage by inspiring our students to live with Zeal for God, for Life, and for Learning.

In cooperation with the family, our school offers an educational program which exposes a young man to a variety of ideas and experiences and, in doing so, aims to produce a reflective critical-thinking adult. We establish a solid foundation spiritually, intellectually, socially, culturally, morally, and physically, and expect our students to make progress in these areas according to their abilities, under the requirements of our nation's laws and within the spirit of the Gospel.
",Over 500 students,Approximately 200-220 students per year.,All boys,"$11,400.00",Yes,Yes,Big Shoulders Fund,http://www.mchs.org/s/1249/15/index.aspx?sid=1249&gid=1&pgid=348,Yes,"CTA: 6, 15, 28, 63, ",Green Line,Metra Elecric District (ME),Yes - to/from defined locations,Support for Learning Differences,"Dual Enrollment or Credit, AP Biology, AP English, AP Computer Science, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Government and Politics, AP Chinese, AP Latin, AP Spanish","AP Biology, AP English, AP Computer Science, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Government and Politics, AP Chinese, AP Latin, AP Spanish","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship","Basketball, Football, Baseball, Track and Field, Cross Country, Hockey, Wrestling, Cheerleading/Dance Team, Swimming, Diving, Water Polo, Soccer, Volleyball, Golf, Bowling, Lacrosse, Tennis","https://drive.google.com/open?id=1qusJJ15uCTzafZhFcqD1TvRswRoJnE6A, https://drive.google.com/open?id=1AmxO_fLB6weoh7Y4ziw-As_DWd_Dtb7z, https://drive.google.com/open?id=1TOoVkDY-k5Fnt4XK-hxgBkZcuq5NdZ7E",http://www.mchs.org/s/1249/15/index.aspx?sid=1249&gid=1&pgid=1303,"Public Transit (CTA, PACE, or Metra), School bus"
11/7/2017 15:07:40,dmoran@nazarethacademy.com,Nazareth Academy,"1209 W Ogden Ave 
LaGrange Park, IL 60526",(708) 354-0061,http://www.nazarethacademy.com,December Entrance Exam,"MISSION

Nazareth Academy is a Catholic, coed, college prep high school dedicated to living Jesus' mission of unity and committed to educating the whole person.

Above all we value:

SCHOLARSHIP:
We are committed to academic excellence by providing a challenging, innovative curriculum and an appreciation of the arts. We make our learning environment the place for great potential for all.

SERVICE:
We make a positive difference in people's lives and develop a sense of responsibility and leadership. We guide our faculty and students toward an appreciation and sense of mission by ministering to others.

SPIRIT:
We value creative participation in the life of the school, thereby encouraging all to develop their unique abilities.

UNITY:
We realize the value of self and others. We integrate learning with Christian values and faith and work to unite with God and one another.",Over 500 students,Approximately 240 students per year.,Co-ed,"$13,300.00",Yes,Yes,Daniel Murphy Scholarship Fund,http://www.nazarethacademy.com/s/157/new/index.aspx?sid=157&gid=1&pgid=313,Yes,"PACE: 304, 330",None,BNSF Railway (BNSF),Yes - to/from defined locations,Mental Health Counseling,"Service Learning, AP Biology, AP English, AP Computer Science, AP Calculus, AP Chemistry, AP Physics, AP United States History, AP French, AP Spanish","AP Biology, AP English, AP Computer Science, AP Calculus, AP Chemistry, AP Physics, AP United States History, AP French, AP Spanish","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship","Basketball, Football, Softball, Baseball, Track and Field, Cross Country, Hockey, Wrestling, Cheerleading/Dance Team, Soccer, Volleyball, Golf, Lacrosse, Tennis","https://drive.google.com/open?id=1KSFndc-0GjvN485-CDIuC3lvGSPnnZ_4, https://drive.google.com/open?id=1wMsfx34ms8Fl1G8J_qV_AsH4z5c_puGf, https://drive.google.com/open?id=1-zc1u-JGq0ZNeCfkotPDCwBhneGPBR5L, https://drive.google.com/open?id=1gjW8VfjhVGhuCa6JqMvMj8pPsAF4iIcw",http://www.nazarethacademy.com/s/157/new/index.aspx?sid=157&gid=1&pgid=310,"Public Transit (CTA, PACE, or Metra), School bus"
11/13/2017 14:08:02,sboyle@nddons.org,Notre Dame College Prep,"7655 Demptster St
Niles, IL 60714",(847) 779-8615,http://www.nddons.org ,December Entrance Exam,"Under the patronage of Mary, Notre Dame College Prep is a secondary, all-male school committed to educating young men to be gentlemen of faith, scholarship, and service in an inclusive, family-oriented community. Faithful to the Roman Catholic tradition and inspired by Gospel values, we prepare students to be lifelong learners and to lead lives of integrity.

PHILOSOPHY OF EDUCATION
In the tradition of Holy Cross, a Notre Dame College Prep education emphasizes the formation of the hearts and minds of young men. As the Congregation’s founder, Blessed Basil Moreau, C.S.C. stated, “the mind will not be cultivated at the expense of the heart.” This approach to education promotes the development of the whole person. We believe such an experience is critical, since society has a great need for people who lead their lives possessing intellectual curiosity, strong moral character, and social responsibility based upon Christian values. We further believe the quality of education is dependent on the quality of the people engaged in this purpose. Consequently, Notre Dame educators are people of faith who motivate, inspire, and lead the student towards academic excellence while fostering critical thinking, creativity, and leadership. Finally, we believe this education takes place best within a Christ-centered community of faith.",Over 500 students,Approximately 280 students per year.,All boys,"$11,850.00",Yes,Yes,"Big Shoulders Fund, LINK Unlimited, HFS Chicago, Highsight, Madonna Foundation, Chicago Lights",http://www.nddons.org,Yes,"PACE: 250, 270, 410",Yellow,"Milwaukee District North (MD-N), Union Pacific Northwest (UP-NW)",Yes - for all students,"Post-High School Counseling, Support for Learning Differences, Tutoring, Mental Health Counseling","AP Biology, AP English, AP Computer Science, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP Physics, AP United States History, AP World History, AP Psychology, AP Government and Politics, AP Italian, AP Spanish, AP Studio Art, Summer School, Dual Enrollment or Credit, Service Learning","AP Biology, AP English, AP Computer Science, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP Physics, AP United States History, AP World History, AP Psychology, AP Government and Politics, AP Italian, AP Spanish, AP Studio Art","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship","Basketball, Football, Flag Football, Softball, Baseball, Track and Field, Cross Country, Hockey, Wrestling, Cheerleading/Dance Team, Swimming, Soccer, Volleyball, Golf, Bowling, Lacrosse, Tennis","https://drive.google.com/open?id=1oJ9HUuZzlrDb8aQOG8AxmiUYxy-RR7t8, https://drive.google.com/open?id=1m-w4bpQtxdQ2JarQK5iyrlk-xw0uWyNm, https://drive.google.com/open?id=1uhPMVnB-P8aavuY0TWs0d0vSlnHhaWsh","http://www.nddons.org/s/1034/16/index.aspx?sid=1034&gid=1&pgid=1846&cid=6871&post_id=0
","Public Transit (CTA, PACE, or Metra), School bus"
11/28/2017 11:30:51,jthompson@ourladyoftepeyac.org,Our Lady of Tepeyac High School,"2228 S Whipple St
Chicago, IL 60623",(773) 522-0023,https://ourladyoftepeyac.org/index.php,December Entrance Exam,"Our Lady of Tepeyac High School has been educating young women since 1927. Tepeyac creates opportunity and equity for girls by fostering an environment where each student's voice can be heard. We instill self-esteem, a deeper faith, and determination to keep growing. 100% of our grads are accepted and enroll in college. Scholarships are awarded to more than 90% of our students. The tuition is one of the most reasonable of all Catholic high schools. ",Less than 250 students,Approximately 40-50 students per year.,All girls,"$5,500.00",Yes,Yes,"Big Shoulders Fund, Highsight, Madonna Foundation",http://www.ourladyoftepeyac.org/tuition.php,Yes,"CTA: 21, 52",Pink,BNSF Railway (BNSF),No,"English as a Second Language (ESL), Post-High School Counseling, Support for Learning Differences, Tutoring, Mental Health Counseling","AP English, AP Spanish, Online Classes, Summer School, Credit Recovery, Service Learning","AP English, AP Spanish","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Art, Student Government","Basketball, Softball, Soccer, Volleyball","https://drive.google.com/open?id=1BRLV0FElIjiS07MZLs-CsnZASc_sGFa-, https://drive.google.com/open?id=1s_lOEPAtdF2XnWegGNzYapXrUZ3T1-cS, https://drive.google.com/open?id=19t71HMA4I0if9KSuh1OrYz9w0muYUVLH",https://docs.google.com/forms/d/e/1FAIpQLSdoEwSe5KCIsjdRhcc6aJWfK2wmO-QZk6W6ZvaCkD9MOqu-KQ/viewform,"Public Transit (CTA, PACE, or Metra)"
11/8/2017 9:04:46,kpins@rdhs.org,Regina Dominican College Preparatory High School,"701 Locust Rd
Wilmette, IL 60091",(847) 256-7660,http://rdhs.org,December Entrance Exam,"Regina Dominican is the all-girls, Catholic college preparatory high school that inspires young women to lead and serve. We focus on helping girls excel by fostering academic excellence, creating an inclusive, friendly environment, and challenging each student to develop leadership for life. In addition to a college preparatory education, we prepare our students for their future careers, relationships, and life.",Between 250 and 500 students,Approximately 80 students per year.,All girls,"$14,600.00",Yes,Yes,"Big Shoulders Fund, LINK Unlimited, HFS Chicago, Highsight, Madonna Foundation",https://rdhs.org/about-regina/tuition-assistance-and-scholarships/,Yes,"PACE: 421, 422, 423",Purple (Bus from station provided in the morning.),"Union Pacific Northwest (UP-NW), Milwaukee District North (MD-N) 
*Regina Dominican provides a bus in the morning from Wilmette and Glenview stations in addition to PACE",Yes - to/from defined locations,"ESL, Support for Learning Differences, Tutoring","AP Biology, AP English, AP Calculus, AP Chemistry, AP Physics, AP United States History, AP World History, AP Government and Politics, AP Latin, AP French, AP Spanish, AP Music Theory, Online Classes, Summer School","AP Biology, AP English, AP Calculus, AP Chemistry, AP Physics, AP United States History, AP World History, AP Government and Politics, AP Latin, AP French, AP Spanish, AP Music Theory","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Art, Band/Orchestra, Foreign Language, Student Government, Leadership Institute","Basketball, Softball, Track and Field, Cross Country, Cheerleading/Dance Team, Swimming, Soccer, Volleyball, Golf, Bowling, Lacrosse, Tennis","https://drive.google.com/open?id=1YwgAulGJ3FqaU79Wl-n96rZ-kce0gunZ, https://drive.google.com/open?id=1VVhxCmF9YQ6hArvPt4Z4e4JbLLFHSqCN, https://drive.google.com/open?id=1OnYoZHaXIEJJHQt6fZSuuDCgWi-v5h1z, https://drive.google.com/open?id=1zaW3XHEDBSRmJLKyUdydSDPwgFRMz6S1",https://rdhs.org/admissions/calendar-of-admissions-events/,"Public Transit (CTA, PACE, or Metra), School bus"
11/17/2017 14:56:53,ccastellucci@reshs.org,Resurrection College Prep High School,"7500 W Talcott Ave
Chicago, IL 60631",(773) 775-6616,http://reshs.org,December Entrance Exam,"Resurrection College Prep High School is a Catholic Christian community dedicated to the education of young women, and to the development of their God–given talents. Convinced of God’s unconditional love and nourished by the Risen Lord Jesus Christ, we are committed to the spiritual, ethical, intellectual, physical and social growth of our students.",Between 250 and 500 students,Approximately 125 students per year.,All girls,"$11,150.00",Yes,Yes,"Big Shoulders Fund, LINK Unlimited, Highsight, Madonna Foundation",http://reshs.org,Yes,"CTA: 68, 88, 81W
PACE: 209, 241",Blue,Union Pacific Northwest (UP-NW),No,"Post-High School Counseling, Support for Learning Differences, Tutoring, Mental Health Counseling","AP Biology, AP English, AP Calculus, AP Statistics, AP Chemistry, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Spanish, Online Classes, Summer School, Credit Recovery, Dual Enrollment or Credit, Service Learning","AP Biology, AP English, AP Calculus, AP Statistics, AP Chemistry, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Spanish","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship","Basketball, Softball, Track and Field, Cross Country, Cheerleading/Dance Team, Swimming, Water Polo, Soccer, Volleyball, Golf, Bowling, Lacrosse, Tennis","https://drive.google.com/open?id=1cENkBn9YhExTASLiT_psNaBFrWKSZbrc, https://drive.google.com/open?id=1yjjDGMZs0T4E9-98q0n3Cjs8ueVV2CrZ, https://drive.google.com/open?id=1cGOAuSEzkyGpYLtYVMsGSYpOUPeZDpVL",https://forms.diamondmindinc.com/reshs/shadow8?token=1876475845,"Public Transit (CTA, PACE, or Metra)"
11/8/2017 13:42:27,elizabeth.carney@ignatius.org,Saint Ignatius College Prep,"1076 W Roosevelt Rd
Chicago, IL 60608",(312) 421-5900,http://www.ignatius.org,December Entrance Exam,"Saint Ignatius College Prep, a Jesuit Catholic school in the heart of Chicago, is a diverse community dedicated to educating young men and women for lives of faith, love, service and leadership. Through outstanding teaching and personal formation, the school challenges its talented student body to intellectual excellence, integrity, and life-long learning and growth. Inspired by the gospel of Jesus Christ, this community strives to use God's gifts to promote social justice for the greater glory of God.",Over 500 students,Approximately 50% of applicants accepted per year.,Co-ed,"$18,500.00",No,Yes,"Big Shoulders Fund, LINK Unlimited, HFS Chicago, Highsight, Madonna Foundation, Chicago Lights",http://www.ignatius.org/administrative/treasurers-office/tuition-assistance/,Yes,"CTA: 12, 60 ,157","Blue, Red",BNSF Railway (BNSF),Students can pay an annual fee for access to our shuttle bus to/from the Metra stations.,Tutoring,"AP Biology, AP English, AP Computer Science, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Government and Politics, AP Chinese, AP Latin, AP French, AP Spanish, AP Art History, Online Classes, Summer School, Dual Enrollment, Study Abroad, and Service Learning","AP Biology, AP English, AP Computer Science, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Government and Politics, AP Chinese, AP Latin, AP French, AP Spanish, AP Art History, We offer 24 AP courses.","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship, We have over 80 co-curricular offerings. ","Basketball, Football, Flag Football, Softball, Baseball, Track and Field, Cross Country, Hockey, Field Hockey, Wrestling, Cheerleading/Dance Team, Swimming, Diving, Water Polo, Soccer, Volleyball, Golf, Rowing, Bowling, Lacrosse, Tennis, We have 34 athletic teams.",https://drive.google.com/open?id=1AUboZXS9ozvHPuHU8JQpGNKkQf2MJDKk,"http://www.ignatius.org/administrative/admissions/campus-visit-program/campus-visit-new-registration/
","Public Transit (CTA, PACE, or Metra), School bus"
11/9/2017 8:25:53,boconnor@stpatrick.org,Saint Patrick High School,"5900 W Belmont Ave
Chicago, IL 60634",(773) 282-8844,https://www.stpatrick.org/,December Entrance Exam,"Saint Patrick strives to provide its Shamrocks with an educational experience of the highest quality, which enables our students to develop to their maximum potential as lifelong learners and assets to society and the Church.   Through our academic offerings, spiritual guidance, athletic program and extracurricular activities, Saint Patrick transforms boys into capable young men who are prepared to succeed as their lives progress outside the walls of our school.",Over 500 students,Approximately 160 students per year.,All boys,"$12,000.00",Yes,Yes,"Big Shoulders Fund, HFS Chicago, Highsight, Daniel Murphy Scholarship Fund",https://www.stpatrick.org/admissions/scholarships/,Yes,"CTA: 77, 91",None,None,Yes - to/from defined locations,"Post-High School Counseling, Support for Learning Differences, Tutoring","AP Biology, AP English, AP Calculus, AP Statistics, AP United States History, AP Economics, AP Government and Politics, Online Classes, Summer School, Credit Recovery, Dual Enrollment or Credit","AP Biology, AP English, AP Calculus, AP Statistics, AP United States History, AP Economics, AP Government and Politics","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship","Basketball, Football, Flag Football, Softball, Baseball, Track and Field, Cross Country, Hockey, Wrestling, Cheerleading/Dance Team, Swimming, Diving, Water Polo, Soccer, Volleyball, Golf, Bowling, Tennis","https://drive.google.com/open?id=1BalbdJzZlmUwfvKpw1e4NxV_hKCEtyJH, https://drive.google.com/open?id=1Bk86YyjXPBm0UeDs-pyJQVqTxEEiT_5t, https://drive.google.com/open?id=1JljVnB8WGlTxQmfJwYyZfqtKhBcwWZ3E",https://www.stpatrick.org/admissions/shadow-days/,"Public Transit (CTA, PACE, or Metra), School bus"
